held_out_system,family,train_fraction,n_train,mae_none,mae_none_std,mae_full,mae_full_std
AsBr3,pnictogen_bond,0.25,285,1.287,0.2,1.787,0.955
AsBr3,pnictogen_bond,0.5,570,1.539,0.281,1.552,0.425
AsBr3,pnictogen_bond,1.0,1140,1.27,0.094,1.254,0.289
AsCl3,pnictogen_bond,0.25,285,1.649,0.212,1.185,0.196
AsCl3,pnictogen_bond,0.5,570,2.779,0.777,2.226,0.846
AsCl3,pnictogen_bond,1.0,1140,2.137,0.514,1.65,0.706
AsF3,pnictogen_bond,0.25,285,2.056,0.151,2.19,0.207
AsF3,pnictogen_bond,0.5,570,2.674,0.472,2.316,0.337
AsF3,pnictogen_bond,1.0,1140,2.654,0.929,2.636,0.565
Br2,halogen_bond,0.25,285,5.739,0.306,5.695,0.758
Br2,halogen_bond,0.5,570,5.527,0.073,4.647,0.988
Br2,halogen_bond,1.0,1140,5.365,0.146,3.723,1.033
BrCl,halogen_bond,0.25,285,7.229,0.226,6.509,1.368
BrCl,halogen_bond,0.5,570,7.139,0.252,4.995,1.092
BrCl,halogen_bond,1.0,1140,6.9,0.124,4.825,1.605
BrF,halogen_bond,0.25,285,7.978,0.065,7.228,1.022
BrF,halogen_bond,0.5,570,7.884,0.039,6.611,0.791
BrF,halogen_bond,1.0,1140,7.804,0.159,6.692,0.787
Cl2,halogen_bond,0.25,285,6.529,0.445,6.756,0.667
Cl2,halogen_bond,0.5,570,5.278,0.44,5.3,0.719
Cl2,halogen_bond,1.0,1140,5.353,0.295,3.94,0.5
ClF,halogen_bond,0.25,285,7.988,0.376,7.913,0.09
ClF,halogen_bond,0.5,570,7.493,0.168,6.762,1.208
ClF,halogen_bond,1.0,1140,7.532,0.13,6.793,1.008
GeCl4,tetrel_bond,0.25,285,5.702,0.373,4.98,2.133
GeCl4,tetrel_bond,0.5,570,5.187,0.283,5.028,0.714
GeCl4,tetrel_bond,1.0,1140,5.526,0.239,4.715,0.645
GeF4,tetrel_bond,0.25,285,2.632,0.542,2.544,0.327
GeF4,tetrel_bond,0.5,570,9.418,7.718,4.119,1.232
GeF4,tetrel_bond,1.0,1140,3.945,1.13,1.995,0.621
H2O,hydrogen_bond,0.25,285,5.476,1.183,4.578,0.317
H2O,hydrogen_bond,0.5,570,4.675,0.093,4.715,0.385
H2O,hydrogen_bond,1.0,1140,5.106,0.436,5.038,0.391
H2S,hydrogen_bond,0.25,285,1.442,0.07,1.616,0.266
H2S,hydrogen_bond,0.5,570,1.862,0.543,1.903,0.44
H2S,hydrogen_bond,1.0,1140,2.223,1.124,2.028,0.764
HBr,hydrogen_bond,0.25,285,3.321,0.271,3.808,2.562
HBr,hydrogen_bond,0.5,570,3.397,0.238,2.831,0.541
HBr,hydrogen_bond,1.0,1140,3.36,0.135,3.088,0.449
HCN,hydrogen_bond,0.25,285,2.863,1.791,4.459,3.737
HCN,hydrogen_bond,0.5,570,3.423,2.422,5.988,5.203
HCN,hydrogen_bond,1.0,1140,2.577,0.687,3.54,2.856
HCl,hydrogen_bond,0.25,285,4.0,0.313,3.465,0.686
HCl,hydrogen_bond,0.5,570,3.985,0.292,4.024,0.819
HCl,hydrogen_bond,1.0,1140,4.819,0.484,3.692,1.057
HF,hydrogen_bond,0.25,285,8.263,0.466,9.823,1.777
HF,hydrogen_bond,0.5,570,8.156,0.342,8.193,0.641
HF,hydrogen_bond,1.0,1140,8.299,0.181,8.041,1.01
HI,hydrogen_bond,0.25,285,2.649,0.172,2.038,0.624
HI,hydrogen_bond,0.5,570,3.284,0.469,2.874,1.157
HI,hydrogen_bond,1.0,1140,2.728,0.21,2.487,0.438
I2,halogen_bond,0.25,285,6.035,0.129,7.18,2.059
I2,halogen_bond,0.5,570,6.372,0.445,4.304,0.486
I2,halogen_bond,1.0,1140,5.922,0.099,5.899,2.262
IBr,halogen_bond,0.25,285,7.704,0.081,6.547,0.985
IBr,halogen_bond,0.5,570,7.521,0.128,4.432,0.57
IBr,halogen_bond,1.0,1140,7.592,0.062,4.487,1.479
ICl,halogen_bond,0.25,285,8.034,0.103,7.017,0.993
ICl,halogen_bond,0.5,570,7.986,0.239,5.809,1.277
ICl,halogen_bond,1.0,1140,7.916,0.105,6.212,1.555
IF,halogen_bond,0.25,285,8.802,0.07,8.15,0.498
IF,halogen_bond,0.5,570,8.896,0.117,7.525,0.895
IF,halogen_bond,1.0,1140,8.734,0.116,7.669,0.851
NH3donor,hydrogen_bond,0.25,285,5.25,2.13,5.178,0.681
NH3donor,hydrogen_bond,0.5,570,7.753,4.248,5.196,1.54
NH3donor,hydrogen_bond,1.0,1140,5.613,0.318,4.838,0.755
PBr3,pnictogen_bond,0.25,285,1.532,0.43,2.648,1.069
PBr3,pnictogen_bond,0.5,570,1.357,0.153,2.421,1.451
PBr3,pnictogen_bond,1.0,1140,1.603,0.473,2.252,1.169
PCl3,pnictogen_bond,0.25,285,1.954,0.422,2.031,0.752
PCl3,pnictogen_bond,0.5,570,6.146,2.901,5.899,3.738
PCl3,pnictogen_bond,1.0,1140,4.172,1.291,2.745,0.786
PF3,pnictogen_bond,0.25,285,4.423,0.479,4.93,0.899
PF3,pnictogen_bond,0.5,570,3.925,0.358,4.311,0.254
PF3,pnictogen_bond,1.0,1140,3.933,0.276,3.701,0.866
SBr2,chalcogen_bond,0.25,285,1.193,0.164,1.741,0.935
SBr2,chalcogen_bond,0.5,570,1.594,0.417,1.262,0.564
SBr2,chalcogen_bond,1.0,1140,1.631,0.557,1.286,0.407
SF2,chalcogen_bond,0.25,285,1.597,0.263,1.96,0.271
SF2,chalcogen_bond,0.5,570,3.351,1.147,1.409,0.204
SF2,chalcogen_bond,1.0,1140,1.7,0.23,1.769,0.332
SbCl3,pnictogen_bond,0.25,285,2.482,0.515,2.579,0.992
SbCl3,pnictogen_bond,0.5,570,2.077,0.576,1.689,0.141
SbCl3,pnictogen_bond,1.0,1140,2.151,0.5,2.222,0.524
SbF3,pnictogen_bond,0.25,285,2.766,0.551,2.25,0.352
SbF3,pnictogen_bond,0.5,570,1.906,0.082,2.531,0.135
SbF3,pnictogen_bond,1.0,1140,1.916,0.039,2.403,0.272
SeBr2,chalcogen_bond,0.25,285,1.914,0.383,1.153,0.38
SeBr2,chalcogen_bond,0.5,570,1.557,0.173,1.098,0.414
SeBr2,chalcogen_bond,1.0,1140,1.559,0.167,1.082,0.334
SeCl2,chalcogen_bond,0.25,285,2.196,0.557,1.195,0.382
SeCl2,chalcogen_bond,0.5,570,1.643,0.228,0.955,0.194
SeCl2,chalcogen_bond,1.0,1140,1.622,0.307,1.081,0.241
SeF2,chalcogen_bond,0.25,285,3.518,0.768,1.942,0.533
SeF2,chalcogen_bond,0.5,570,2.175,0.119,2.314,0.269
SeF2,chalcogen_bond,1.0,1140,2.247,0.076,2.29,0.24
SiCl4,tetrel_bond,0.25,285,4.645,0.448,4.948,1.82
SiCl4,tetrel_bond,0.5,570,4.819,0.653,3.43,0.503
SiCl4,tetrel_bond,1.0,1140,4.403,0.273,3.751,0.74
SiF4,tetrel_bond,0.25,285,3.382,0.385,3.8,0.915
SiF4,tetrel_bond,0.5,570,3.484,0.663,3.419,0.481
SiF4,tetrel_bond,1.0,1140,3.127,0.296,2.956,1.021
SnCl4,tetrel_bond,0.25,285,2.647,0.268,3.229,0.877
SnCl4,tetrel_bond,0.5,570,4.023,0.594,3.036,0.24
SnCl4,tetrel_bond,1.0,1140,3.202,0.638,2.886,0.486
SnF4,tetrel_bond,0.25,285,2.948,0.446,3.417,1.017
SnF4,tetrel_bond,0.5,570,3.516,0.816,3.39,0.61
SnF4,tetrel_bond,1.0,1140,2.735,0.158,3.142,0.497
TeBr2,chalcogen_bond,0.25,285,2.71,0.604,1.996,0.335
TeBr2,chalcogen_bond,0.5,570,2.051,0.096,1.899,0.369
TeBr2,chalcogen_bond,1.0,1140,2.045,0.083,1.205,0.438
TeCl2,chalcogen_bond,0.25,285,2.957,0.966,2.033,0.914
TeCl2,chalcogen_bond,0.5,570,1.979,0.169,1.505,0.472
TeCl2,chalcogen_bond,1.0,1140,2.199,0.171,1.618,0.549
TeF2,chalcogen_bond,0.25,285,4.552,1.028,3.815,0.795
TeF2,chalcogen_bond,0.5,570,2.862,0.137,2.792,0.802
TeF2,chalcogen_bond,1.0,1140,2.712,0.113,2.55,0.903
