held_out_system,family,train_fraction,n_train,mae_none,mae_none_std,mae_pi_only,mae_pi_only_std
AsBr3,pnictogen_bond,1.0,1140,1.27,0.094,1.603,0.404
AsCl3,pnictogen_bond,1.0,1140,2.137,0.514,1.623,0.5
AsF3,pnictogen_bond,1.0,1140,2.654,0.929,2.774,0.849
Br2,halogen_bond,1.0,1140,5.365,0.146,4.489,0.617
BrCl,halogen_bond,1.0,1140,6.9,0.124,5.712,0.441
BrF,halogen_bond,1.0,1140,7.804,0.159,7.095,0.666
Cl2,halogen_bond,1.0,1140,5.353,0.295,4.668,1.15
ClF,halogen_bond,1.0,1140,7.532,0.13,6.307,1.302
GeCl4,tetrel_bond,1.0,1140,5.526,0.239,4.576,0.866
GeF4,tetrel_bond,1.0,1140,3.945,1.13,2.88,0.864
H2O,hydrogen_bond,1.0,1140,5.106,0.436,5.047,0.93
H2S,hydrogen_bond,1.0,1140,2.223,1.124,1.322,0.16
HBr,hydrogen_bond,1.0,1140,3.36,0.135,3.563,1.004
HCN,hydrogen_bond,1.0,1140,2.577,0.687,2.15,0.695
HCl,hydrogen_bond,1.0,1140,4.819,0.484,4.221,0.768
HF,hydrogen_bond,1.0,1140,8.299,0.181,8.517,0.615
HI,hydrogen_bond,1.0,1140,2.728,0.21,2.547,0.412
I2,halogen_bond,1.0,1140,5.922,0.099,4.592,1.132
IBr,halogen_bond,1.0,1140,7.592,0.062,5.797,1.022
ICl,halogen_bond,1.0,1140,7.916,0.105,6.378,0.676
IF,halogen_bond,1.0,1140,8.734,0.116,6.176,1.353
NH3donor,hydrogen_bond,1.0,1140,5.613,0.318,4.0,0.776
PBr3,pnictogen_bond,1.0,1140,1.603,0.473,2.289,1.037
PCl3,pnictogen_bond,1.0,1140,4.172,1.291,2.99,1.315
PF3,pnictogen_bond,1.0,1140,3.933,0.276,4.794,0.393
SBr2,chalcogen_bond,1.0,1140,1.631,0.557,1.539,0.376
SF2,chalcogen_bond,1.0,1140,1.7,0.23,1.828,0.235
SbCl3,pnictogen_bond,1.0,1140,2.151,0.5,2.363,0.49
SbF3,pnictogen_bond,1.0,1140,1.916,0.039,2.236,0.383
SeBr2,chalcogen_bond,1.0,1140,1.559,0.167,1.071,0.421
SeCl2,chalcogen_bond,1.0,1140,1.622,0.307,1.547,0.849
SeF2,chalcogen_bond,1.0,1140,2.247,0.076,1.685,0.554
SiCl4,tetrel_bond,1.0,1140,4.403,0.273,3.158,0.97
SiF4,tetrel_bond,1.0,1140,3.127,0.296,3.78,0.817
SnCl4,tetrel_bond,1.0,1140,3.202,0.638,2.747,0.344
SnF4,tetrel_bond,1.0,1140,2.735,0.158,2.964,0.405
TeBr2,chalcogen_bond,1.0,1140,2.045,0.083,1.281,0.522
TeCl2,chalcogen_bond,1.0,1140,2.199,0.171,1.175,0.504
TeF2,chalcogen_bond,1.0,1140,2.712,0.113,2.74,1.03
